id,timestamp,test_field,_rid,_self,_etag,_attachments,_ts,route_origin,route_destination,traffic_route,traffic_duration,weather_temperature,weather_conditions,weather_rain,weather_snow,new_field_1,new_field_2,new_field_3,array_field,nested_field.sub_field_1,nested_field.sub_field_2,nested_field.sub_field_3,traffic_data.route,traffic_data.duration_in_traffic,weather_data.temperature,weather_data.weather_conditions,weather_data.rain,weather_data.snow,air_quality_data.air_quality_index,air_quality_data.components.co,air_quality_data.components.no,air_quality_data.components.no2,air_quality_data.components.o3,air_quality_data.components.so2,air_quality_data.components.pm2_5,air_quality_data.components.pm10,air_quality_data.components.nh3,route_name
unique-test-id-123,2024-11-30T16:54:41.764723,test_value,hCl+AN3ccB8BAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8BAAAAAAAAAA==/,"""6504f0f5-0000-1100-0000-674b43510000""",attachments/,1732985681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unique-combined-id-456,2024-11-30T16:58:17.317723,,hCl+AN3ccB8CAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8CAAAAAAAAAA==/,"""6604b221-0000-1100-0000-674b44290000""",attachments/,1732985897,"51.5074,-0.1278","51.556021,-0.064096",Queensbridge Rd/B108,2369,286.5,Clouds,0,0,,,,,,,,,,,,,,,,,,,,,,,
test-additional-fields-789,2024-11-30T17:02:40.856254,test_value,hCl+AN3ccB8DAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8DAAAAAAAAAA==/,"""6604885a-0000-1100-0000-674b45300000""",attachments/,1732986160,,,,,,,,,value_1,123,TRUE,,,,,,,,,,,,,,,,,,,,
test-nested-data-101,2024-11-30T17:04:06.956933,test_value,hCl+AN3ccB8EAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8EAAAAAAAAAA==/,"""6604876d-0000-1100-0000-674b45860000""",attachments/,1732986246,,,,,,,,,,,,"[{'item_1': 'value_1', 'item_2': 789}, {'item_3': 'value_3', 'item_4': 1011}]",sub_value_1,456,"[1, 2, 3]",,,,,,,,,,,,,,,,
data-2024-11-30T17:16:43.060040,2024-11-30T17:16:43.060048,,hCl+AN3ccB8FAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8FAAAAAAAAAA==/,"""67044a12-0000-1100-0000-674b487b0000""",attachments/,1732987003,,,,,,,,,,,,,,,,A40,2278,286.3,Clouds,0,0,,,,,,,,,,
data-2024-11-30T17:25:59.796432,2024-11-30T17:25:59.796436,,hCl+AN3ccB8GAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8GAAAAAAAAAA==/,"""67048c83-0000-1100-0000-674b4aa70000""",attachments/,1732987559,,,,,,,,,,,,,,,,A40,2203,286.24,Clouds,0,0,1,263.69,0.15,32.22,23.6,10.25,5.08,7.87,0.28,
data-2024-11-30T17:35:12.995970,2024-11-30T17:35:12.995985,,hCl+AN3ccB8HAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8HAAAAAAAAAA==/,"""67047af2-0000-1100-0000-674b4cd10000""",attachments/,1732988113,,,,,,,,,,,,,,,,A40,2256,286.22,Clouds,0,0,1,267.03,0.16,32.9,23.6,10.01,5.63,8.89,0.31,
data-2024-11-30T17:36:14.121610,2024-11-30T17:36:14.121627,,hCl+AN3ccB8IAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8IAAAAAAAAAA==/,"""68047700-0000-1100-0000-674b4d0e0000""",attachments/,1732988174,,,,,,,,,,,,,,,,A40,2301,286.22,Clouds,0,0,1,267.03,0.16,32.9,23.6,10.01,5.63,8.89,0.31,
data-2024-11-30T17:52:39.183982,2024-11-30T17:52:39.184007,,hCl+AN3ccB8JAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8JAAAAAAAAAA==/,"""68046dca-0000-1100-0000-674b50e70000""",attachments/,1732989159,,,,,,,,,,,,,,,,A40,2346,286.1,Clouds,0,0,1,267.03,0.16,32.9,23.6,10.01,5.63,8.89,0.31,
data-2024-11-30T17:53:40.331235,2024-11-30T17:53:40.331243,,hCl+AN3ccB8KAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8KAAAAAAAAAA==/,"""68049cd7-0000-1100-0000-674b51240000""",attachments/,1732989220,,,,,,,,,,,,,,,,A40,2475,286.1,Clouds,0,0,1,267.03,0.16,32.9,23.6,10.01,5.63,8.89,0.31,
data-2024-11-30T17:54:41.567151,2024-11-30T17:54:41.567158,,hCl+AN3ccB8LAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8LAAAAAAAAAA==/,"""680414e2-0000-1100-0000-674b51610000""",attachments/,1732989281,,,,,,,,,,,,,,,,A40,2460,286.1,Clouds,0,0,1,267.03,0.16,32.9,23.6,10.01,5.63,8.89,0.31,
data-2024-11-30T17:55:42.477399,2024-11-30T17:55:42.477426,,hCl+AN3ccB8MAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8MAAAAAAAAAA==/,"""680446ee-0000-1100-0000-674b519e0000""",attachments/,1732989342,,,,,,,,,,,,,,,,A40,2612,286.09,Clouds,0,0,1,267.03,0.16,32.9,23.6,10.01,5.63,8.89,0.31,
data-2024-12-01T01:14:55.476261,2024-12-01T01:14:55.476276,,hCl+AN3ccB8NAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8NAAAAAAAAAA==/,"""7c045598-0000-1100-0000-674bb88f0000""",attachments/,1733015695,,,,,,,,,,,,,,,,A4 and A315,1268,284.8,Clouds,0,0,1,240.33,0,13.88,52.93,6.68,2.5,3.86,0.17,
data-2024-12-01T01:15:56.603470,2024-12-01T01:15:56.603483,,hCl+AN3ccB8OAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8OAAAAAAAAAA==/,"""7c04dbb0-0000-1100-0000-674bb8cc0000""",attachments/,1733015756,,,,,,,,,,,,,,,,A4 and A315,1253,284.8,Clouds,0,0,1,240.33,0,13.88,52.93,6.68,2.5,3.86,0.17,
data-2024-12-01T01:16:57.889936,2024-12-01T01:16:57.889950,,hCl+AN3ccB8PAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8PAAAAAAAAAA==/,"""7c04cbc1-0000-1100-0000-674bb9090000""",attachments/,1733015817,,,,,,,,,,,,,,,,A4 and A315,1311,284.8,Clouds,0,0,1,240.33,0,13.88,52.93,6.68,2.5,3.86,0.17,
data-2024-12-01T01:49:47.443813-Route 1,2024-12-01T01:49:47.443823,,hCl+AN3ccB8QAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8QAAAAAAAAAA==/,"""7e045e29-0000-1100-0000-674bc0bb0000""",attachments/,1733017787,,,,,,,,,,,,,,,,A4 and A315,1162,284.73,Clouds,0,0,1,240.33,0,12,55.08,6.26,2.37,3.79,0.16,Route 1
data-2024-12-01T01:49:47.842129-Route 2,2024-12-01T01:49:47.842139,,hCl+AN3ccB8RAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8RAAAAAAAAAA==/,"""7e046e29-0000-1100-0000-674bc0bb0000""",attachments/,1733017787,,,,,,,,,,,,,,,,Charing Cross Rd,680,284.82,Clouds,0,0,1,240.33,0,12,55.08,6.26,2.37,3.79,0.16,Route 2
data-2024-12-01T01:49:48.774409-Route 3,2024-12-01T01:49:48.774418,,hCl+AN3ccB8SAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8SAAAAAAAAAA==/,"""7e04b329-0000-1100-0000-674bc0bc0000""",attachments/,1733017788,,,,,,,,,,,,,,,,A302,1740,284.81,Clouds,0,0,1,240.33,0,12,55.08,6.26,2.37,3.79,0.16,Route 3
data-2024-12-01T02:05:45.491440-Route 1,2024-12-01T02:05:45.491446,,hCl+AN3ccB8TAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8TAAAAAAAAAA==/,"""7e04eadc-0000-1100-0000-674bc4790000""",attachments/,1733018745,,,,,,,,,,,,,,,,A315,1140,284.7,Clouds,0,0,1,240.33,0,12,55.08,6.26,2.37,3.79,0.16,Route 1
data-2024-12-01T02:05:46.322959-Route 2,2024-12-01T02:05:46.322967,,hCl+AN3ccB8UAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8UAAAAAAAAAA==/,"""7e0416dd-0000-1100-0000-674bc47a0000""",attachments/,1733018746,,,,,,,,,,,,,,,,M4,1656,284.44,Clouds,0,0,1,233.65,0,8.31,57.94,3.46,2.15,3.55,0.13,Route 2
